age			market_value
28			65
28			50
35			7
28			20
31			22
22			30
30			22
31			13
25			30
21			10
24			35
23			22
25			18
26			35
26			15
26			13
27			10
32			12
26			15
21			7
25			10
28			15
24			1
28			7
25			5
32			6
24			15
26			40
25			8
34			5
30			3
37			1
26			5
27			4.5
26			5
23			5
32			2.5
24			10
27			2.5
30			2
25			10
22			8
27			3
30			2
21			8
20			6
21			4
32			1
29			7
24			5
23			2
30			8
32			0.25
25			3.5
25			5
25			5
31			1.5
36			0.5
29			1.5
33			1
24			0.75
30			2
25			8
27			5
29			1.25
34			1
23			0.5
25			1.5
26			2.5
27			1.75
26			4
33			3.5
30			2.5
28			3
31			4
27			4.5
26			10
27			6
31			1.5
28			2.5
27			2.5
25			6
28			3
29			6
33			1
28			5
26			2.5
25			10
24			2
27			4
26			0.5
35			0.25
26			75
28			50
31			16
26			25
27			30
29			28
25			40
30			30
30			35
28			32
26			18
28			35
26			50
35			1.5
23			25
22			15
21			7
34			0.05
24			25
22			16
24			18
26			28
26			12
26			9
29			7
30			4
31			5.5
31			15
27			5
28			7
30			5
36			1
24			8
27			3
26			10
29			1.5
24			6
29			6
27			6
21			5
38			0.25
23			25
32			12
28			17
32			8
29			13
24			18
34			2
23			15
27			5
27			18
31			15
26			12
34			2
36			1.5
19			8
20			5
28			20
27			22
27			2
26			15
30			5
20			3.5
19			5
22			0.5
20			0.25
24			5
24			18
22			10
21			0.25
28			1.5
27			2
28			1.5
25			2
26			1.5
30			0.5
21			0.5
35			0.5
27			2.5
26			0.75
26			5
26			2
28			1
21			0.5
24			0.25
25			0.25
35			0.25
24			0.5
26			0.5
25			3.5
25			7
20			0.75
26			0.65
27			5
26			1
28			3
22			5.5
30			15
26			30
30			10
31			6
27			6
32			5
30			5
29			25
24			8
27			9
33			3
31			7
20			14
21			9
22			5
28			3
24			17
30			1
30			6
20			2.5
25			10
29			0.5
26			1.5
29			9
25			38
25			45
25			40
26			28
31			12
29			25
26			21
29			12
28			17
23			15
25			25
22			12
27			28
27			20
30			7
31			3.5
27			15
24			8
18			1.5
25			10
17			1.5
21			5
20			4
20			2
25			35
24			8
19			2
26			65
29			65
22			45
27			30
31			30
21			35
29			30
31			10
34			8
32			18
34			8
20			30
23			35
31			22
20			15
26			30
32			18
27			8
23			22
22			40
24			50
26			40
31			10
24			75
23			30
29			30
27			22
27			30
21			30
27			18
19			18
28			35
27			12
24			12
25			14
27			18
29			12
22			20
35			1.5
32			5
30			6
19			1
19			2.5
21			0.1
23			22
31			1
26			4.5
24			5
27			5
27			5
25			3.5
25			4.5
32			2.5
26			5
24			1.5
27			9
25			11
30			6
27			5
25			5
28			5.5
21			0.75
26			10
23			8
22			10
34			1.5
29			15
23			15
27			20
28			17
25			15
22			15
25			10
28			5
32			6
26			30
28			13
23			3.5
30			9
23			15
26			10
21			8
25			15
22			0.75
21			3
20			0.5
28			3.5
21			0.25
21			0.5
27			15
28			15
34			1
28			7
30			3
29			11
25			15
36			1.5
33			2.5
31			3.5
32			3
32			5
29			7
20			5
25			3
26			5
32			1.5
23			15
24			12
24			15
31			3
18			1
27			25
32			6
32			9
27			8
23			6
28			5
32			2.5
28			9
29			5
25			6
28			7
25			7.5
24			3
34			1
22			0.75
34			1
26			5
23			0.5
27			4.5
24			2
29			3.5
21			0.25
28			1.5
28			12
19			8
21			45
23			60
25			40
25			30
30			24
30			28
28			35
26			25
23			25
24			12
27			28
30			18
23			13
26			10
27			20
21			4
25			25
33			4
22			7
24			7
29			9
29			11
36			1
33			2
32			3.5
30			4
30			4.5
31			2.5
27			8
27			7
32			2.5
26			15
27			6
24			6
26			5.5
28			4
21			4
30			1
22			5
30			2
30			3
26			4
25			5.5
22			8
37			1
27			15
26			9
34			4
27			15
27			6
32			4
31			5
29			7
27			7
29			4.5
27			10
30			4
28			3
28			2.5
18			1.5
19			0.25
34			1.5
26			1
29			8
24			15
27			18
29			10
33			7
27			18
27			12
30			7
30			2.5
33			2
28			10
30			8
27			12
25			9
27			12
29			9
32			7
21			5
23			7
23			4.5
21			1
27			10
